Grupo,Toxicidade,Tox. Severa,Insulto,Ameaça,Grau,N Msgs
🦅Direita Raiz!🇧🇷,0.4466,0.0032,0.163,0.0027,8,500
🦅JUSTIÇA DE VERDADE 🇺🇸,0.3873,0.0029,0.1445,0.0035,66,500
SAPO FUMANTE,0.3617,0.0059,0.1323,0.0024,1,10
Brasil imparcial,0.3527,0.0031,0.1318,0.0075,143,500
Bolsonaro Herói do Clã,0.338,0.0021,0.2167,0.002,46,53
DIREITA DE VERDADE.,0.3301,0.002,0.1808,0.0057,3,126
Boisonaro Genocida 💩🖕🏻🤾,0.3278,0.0011,0.2389,0.0057,153,500
༒☬USTRA VIVE #6☬༒,0.3033,0.0021,0.1295,0.0024,70,500
Conservadores BR ➡️,0.2618,0.0026,0.1045,0.0081,244,500
POLITICA NEFASTA 2,0.2424,0.0028,0.0893,0.0043,231,500
Brasil em Debate,0.2415,0.0011,0.1382,0.0045,19,126
VEGAS,0.2367,0.0032,0.0555,0.0105,84,500
Melhor pra o Brasil🤝,0.2351,0.002,0.1102,0.0025,65,500
Patriotismo e civismo !,0.2345,0.0013,0.1435,0.0064,123,500
COLISEU DEMOCRÁTICO,0.2337,0.0019,0.1099,0.0119,244,500
O Brasil Feliz de Novo🇧🇷,0.2331,0.0017,0.0985,0.0076,4,500
🇧🇷O choro e livre🔥🔥,0.2246,0.0038,0.0902,0.0077,199,500
Democracia e Política,0.2222,0.0015,0.107,0.0068,77,500
História GeoPolítica,0.2197,0.0022,0.0998,0.0116,80,393
Defesa da Nação🏹🪓🗡️⚔️🛡️,0.219,0.0021,0.121,0.0081,185,500
